scenario_id,title,kind,target,transport,connections,payload_bytes,throughput_mbps,packets_per_second,offered_packets_per_second,connection_rate_per_second,successful_connections,requested_connections,p99_latency_ms,p99_connect_latency_ms,cpu_avg_percent,cpu_ms_total,cpu_ms_per_operation,cpu_ms_per_connection,peak_memory_bytes,peak_conntrack_count,peak_nf_conntrack_objects,peak_nf_conntrack_bytes,cgroup_memory_current_peak,cgroup_memory_peak_bytes,cgroup_memory_anon_peak_bytes,cgroup_memory_file_peak_bytes,cgroup_memory_kernel_peak_bytes,cgroup_memory_sock_peak_bytes,cgroup_pids_peak,cgroup_threads_peak,host_cpu_ms,host_softirq_ms,error_rate,packet_loss_pct,throughput_pct,pps_pct,connection_rate_pct,active_connections_pct,p99_latency_pct,cpu_pct,memory_pct
tcp_latency_1,TCP p99 latency / 64 B / 1 connection,p99_latency,raddex-l4,tcp,1,64,2.832896,5533.0,0.0,410.07858335892905,1.0,1.0,0.5,5.0,53.492,5349.2,0.09667811313934574,5349.2,6127878.144,0.0,0.0,0.0,6385664.0,8130560.0,5308416.0,0.0,815104.0,4096.0,13.0,13.0,107520.0,4676600.0,0.0,0.0,,,,,100.0,119.1917262910064,3.4356261022927694
tcp_latency_1,TCP p99 latency / 64 B / 1 connection,p99_latency,nat,tcp,1,64,5.0392576,9842.3,0.0,509.81443774095106,1.0,1.0,0.2,2.0,2.3280000000000003,4276420.0,43.436129652155245,4276420.0,888832.0,3.0,1088.0,278528.0,1105920.0,12791808.0,106496.0,0.0,897024.0,0.0,1.0,1.0,107390.0,4276420.0,0.0,0.0,,,,,40.0,,
tcp_latency_16,TCP p99 latency / 64 B / 16 connections,p99_latency,nginx,tcp,16,64,17.1530752,33502.1,0.0,2460.405161068886,16.0,16.0,2.0,10.0,169.458,16945.8,0.0505813068434516,1059.1125,178991923.2,0.0,0.0,0.0,178978816.0,179593216.0,177598464.0,16384.0,1028096.0,65536.0,3.0,1.0,106420.0,27183840.0,0.0,0.0,,,,,100.0,100.0,100.0
tcp_latency_16,TCP p99 latency / 64 B / 16 connections,p99_latency,caddy,tcp,16,64,13.7919488,26937.4,0.0,2332.875360739078,16.0,16.0,2.0,10.0,162.16000000000003,16216.000000000002,0.060590108919197846,1013.5000000000001,14449377.28,0.0,0.0,0.0,14467072.0,15499264.0,13377536.0,12288.0,753664.0,65536.0,8.0,8.0,105840.0,21884280.0,0.0,0.0,,,,,100.0,119.78755137095081,8.072642062097247
tcp_latency_16,TCP p99 latency / 64 B / 16 connections,p99_latency,raddex-l4,tcp,16,64,15.2329728,29751.9,0.0,361.83235795767615,16.0,16.0,2.0,100.0,174.916,17491.600000000002,0.05816844041518855,1093.2250000000001,6852444.16,0.0,0.0,0.0,6848512.0,8445952.0,5623808.0,0.0,901120.0,65536.0,13.0,13.0,106040.0,24190840.0,0.0,0.0,,,,,100.0,114.99987652596447,3.828353837141184
tcp_latency_16,TCP p99 latency / 64 B / 16 connections,p99_latency,nat,tcp,16,64,22.162176,43285.5,0.0,2762.108089230592,16.0,16.0,1.0,10.0,2.148,17724840.0,40.98217207898469,1107802.5,667648.0,18.0,885.0,226560.0,1114112.0,12144640.0,110592.0,0.0,827392.0,0.0,1.0,1.0,104860.0,17724840.0,0.0,0.0,,,,,50.0,,
tcp_latency_64,TCP p99 latency / 64 B / 64 connections,p99_latency,nginx,tcp,64,64,18.3580672,35855.6,0.0,1229.8355018151603,64.0,64.0,5.0,100.0,171.172,17117.2,0.04701515636817781,267.45625,180145356.8,0.0,0.0,0.0,180154368.0,181215232.0,178307072.0,16384.0,1310720.0,262144.0,3.0,1.0,106840.0,29024180.0,0.0,0.0,,,,,100.0,100.0,100.0
tcp_latency_64,TCP p99 latency / 64 B / 64 connections,p99_latency,caddy,tcp,64,64,14.868992,29041.0,0.0,740.9767298226219,64.0,64.0,10.0,100.0,168.054,16805.399999999998,0.05811301263730589,262.58437499999997,17186160.64,0.0,0.0,0.0,17195008.0,18489344.0,15634432.0,4096.0,1036288.0,262144.0,8.0,8.0,108030.0,23567020.0,0.0,0.0,,,,,200.0,123.60484815198798,9.540162980209546
tcp_latency_64,TCP p99 latency / 64 B / 64 connections,p99_latency,raddex-l4,tcp,64,64,15.745484800000002,30752.9,0.0,703.2508374316467,64.0,64.0,5.0,100.0,176.214,17621.4,0.05735133922329277,275.334375,8236564.48,0.0,0.0,0.0,8499200.0,9531392.0,6557696.0,0.0,1163264.0,262144.0,13.0,13.0,107140.0,24978300.0,0.0,0.0,,,,,100.0,121.98478885015685,4.572176949941793
tcp_latency_64,TCP p99 latency / 64 B / 64 connections,p99_latency,nat,tcp,64,64,31.6011008,61720.9,0.0,1401.6310473891676,64.0,64.0,5.0,100.0,2.438,25166060.0,40.778943750090356,393219.6875,1183842.304,66.0,1444.0,369664.0,1118208.0,16265216.0,114688.0,0.0,880640.0,0.0,1.0,1.0,105490.0,25166060.0,0.0,0.0,,,,,100.0,,
tcp_long_lived_10k,TCP long-lived connections / 10K,tcp_long_lived,nginx,tcp,10000,1,0.0,0.0,0.0,3194.462498925343,10000.0,10000.0,,,7.07,2352.3047412025,,0.23523047412024997,386190540.8,0.0,0.0,0.0,386162688.0,387207168.0,328237056.0,16384.0,57909248.0,1576960.0,3.0,1.0,357890.0,3671980.0,0.0,0.0,,,,100.0,,100.0,100.0
tcp_long_lived_10k,TCP long-lived connections / 10K,tcp_long_lived,caddy,tcp,10000,1,0.0,0.0,0.0,2421.10507587507,10000.0,10000.0,,,15.464444444444446,5297.12734675549,,0.529712734675549,737778073.6,0.0,0.0,0.0,737980416.0,743981056.0,679567360.0,237568.0,58200064.0,19169280.0,9.0,9.0,366310.0,3838420.0,0.0,0.0,,,,100.0,,225.18882243325308,191.039913114309
tcp_long_lived_10k,TCP long-lived connections / 10K,tcp_long_lived,raddex-l4,tcp,10000,1,0.0,0.0,0.0,2851.506218808138,10000.0,10000.0,,,12.793888888888889,4318.344442772283,,0.43183444427722834,258893414.4,0.0,0.0,0.0,258875392.0,291352576.0,201502720.0,0.0,57372672.0,22159360.0,13.0,13.0,360760.0,3738200.0,0.0,0.0,,,,100.0,,183.57929426119946,67.03774097203366
tcp_long_lived_10k,TCP long-lived connections / 10K,tcp_long_lived,nat,tcp,10000,1,0.0,0.0,0.0,3821.243075829689,10000.0,10000.0,,,2.3064705882352943,2892660.0,,289.266,7950303.232,10001.0,67418.0,17259008.0,1134592.0,13107200.0,106496.0,0.0,917504.0,0.0,2.0,1.0,350530.0,2892660.0,0.0,0.0,,,,100.0,,,
tcp_long_lived_50k,TCP long-lived connections / 50K,tcp_long_lived,nginx,tcp,50000,1,0.0,0.0,0.0,228.16096132226605,34601.0,50000.0,,,130.61760869565217,237715.64286640758,,6.870195741926753,858678886.4,0.0,0.0,0.0,858722304.0,858959872.0,646205440.0,16384.0,161579008.0,52248576.0,3.0,1.0,1895740.0,16947960.0,0.30798000000000003,0.0,,,,100.0,,100.0,100.0
tcp_long_lived_50k,TCP long-lived connections / 50K,tcp_long_lived,caddy,tcp,50000,1,0.0,0.0,0.0,115.65420248041659,27687.0,50000.0,,,175.4932,454025.88583052583,,16.2640022148777,1073741824.0,0.0,0.0,0.0,1073778688.0,1080664064.0,962600960.0,434176.0,165949440.0,83173376.0,44.0,44.0,2712020.0,22064740.0,0.44626,0.0,,,,80.01791855726714,,236.73273405622712,125.04579313713518
tcp_long_lived_50k,TCP long-lived connections / 50K,tcp_long_lived,raddex-l4,tcp,50000,1,0.0,0.0,0.0,154.63163707589698,29618.0,50000.0,,,147.85396396396396,327958.95393088786,,11.072960832294141,768291635.2,0.0,0.0,0.0,768036864.0,768614400.0,557215744.0,0.0,161972224.0,65253376.0,13.0,13.0,2231130.0,17454580.0,0.40764,0.0,,,,85.5986821190139,,161.1738769642205,89.47368421052633
tcp_long_lived_50k,TCP long-lived connections / 50K,tcp_long_lived,nat,tcp,50000,1,0.0,0.0,0.0,584.8030905948349,48076.0,50000.0,,,2.3804081632653062,12502780.0,,260.854996870436,4542431.232,47981.0,180800.0,46284800.0,1634304.0,19279872.0,3948544.0,0.0,1257472.0,0.0,4.0,1.0,1142190.0,12502780.0,0.03847999999999996,0.0,,,,138.94396115719198,,,
tcp_throughput_64k_1,TCP throughput / 64 KiB / 1 connection,tcp_throughput,nginx,tcp,1,65536,1148.4004352,2190.4,0.0,414.69771646702424,1.0,1.0,10.0,5.0,85.21000000000001,8521.0,0.3779401022644266,8521.0,179201638.4,0.0,0.0,0.0,179269632.0,180076544.0,177377280.0,16384.0,954368.0,372736.0,3.0,1.0,108190.0,17850040.0,0.0,0.0,100.0,,,,,100.0,100.0
tcp_throughput_64k_1,TCP throughput / 64 KiB / 1 connection,tcp_throughput,caddy,tcp,1,65536,1029.2822016,1963.2,0.0,264.48743129277756,1.0,1.0,10.0,5.0,87.046,8704.599999999999,0.4433883455582721,8704.599999999999,14627635.2,0.0,0.0,0.0,14630912.0,15679488.0,13303808.0,126976.0,643072.0,552960.0,7.0,7.0,109040.0,16965400.0,0.0,0.0,89.62746530314098,,,,,117.31709413785747,8.162668227033352
